Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Model recved successfully!
Begin!
Epoch 373, Time:1171.278565645218, Loss:1.9034446716308593
Epoch 374, Time:1173.9766705036163, Loss:1.9518718163172404
Epoch 375, Time:1176.7220146656036, Loss:1.8619370063145955
Epoch 376, Time:1179.417141675949, Loss:1.9701950788497924
Epoch 377, Time:1182.133952140808, Loss:1.8083043893178308
Epoch 378, Time:1184.8067908287048, Loss:1.7969571272532145
Epoch 379, Time:1187.540935754776, Loss:1.7732945442199706
Epoch 380, Time:1190.2695620059967, Loss:1.8024187962214155
Epoch 381, Time:1192.975835800171, Loss:1.8613233009974164
Epoch 382, Time:1195.6915798187256, Loss:1.8891671816507973
Epoch 383, Time:1198.3837311267853, Loss:1.810140124956767
Epoch 384, Time:1201.0932216644287, Loss:1.7586976289749148
Epoch 385, Time:1203.7481908798218, Loss:1.9181262969970705
Epoch 386, Time:1206.4570837020874, Loss:1.9008258104324338
Epoch 387, Time:1209.1923642158508, Loss:1.9360828479131065
Epoch 388, Time:1211.9110527038574, Loss:1.6970164457956949
Epoch 389, Time:1214.6213381290436, Loss:1.7922112703323365
Epoch 390, Time:1217.333536863327, Loss:1.7953473329544067
Epoch 391, Time:1220.0555205345154, Loss:1.8746677796045939
Epoch 392, Time:1222.7548594474792, Loss:1.9152828057607016
Epoch 393, Time:1225.4243907928467, Loss:1.8982189257939657
Epoch 394, Time:1228.11079454422, Loss:1.7791265487670898
